Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,"Bayesian Type Based Reasoning: [<class 'axelrod.strategies.grudger.Grudger'>, <class 'axelrod.strategies.titfortat.TitFor2Tats'>, <class 'axelrod.strategies.titfortat.TitForTat'>, <class 'axelrod.strategies.axelrod_first.FirstByJoss'>, <class 'axelrod.strategies.finite_state_machines.Predator'>], 0.05, 100, 5",2.7503333333333333,0.804,2.0,1.0,0.767,0.037000000000000005,0.06333333333333334,0.13266666666666668,1.0,0.787037037037037,0.010757663389242337,0.008265577255214561
1,"First by Stein and Rapoport: 0.05: (D, D)",2.581,0.6273333333333333,11.0,1.0,0.5863333333333334,0.040999999999999995,0.11233333333333331,0.26033333333333325,0.99016354016354,0.2341269841269841,0.5638681745770161,0
2,First by Grofman,2.5713333333333335,0.8613333333333333,1.0,1.0,0.726,0.13533333333333333,0.06366666666666668,0.07500000000000001,1.0,0.3539135509021043,0.32510096704470104,1.0
3,Tit For Tat,2.5566666666666666,0.7463333333333333,0.0,1.0,0.6756666666666665,0.07066666666666667,0.069,0.1846666666666667,1.0,0,1.0,0
4,First by Nydegger,2.497666666666667,0.998,0.0,1.0,0.8310000000000001,0.16699999999999998,0.0006666666666666665,0.001333333333333333,1.0,0.9984078943220153,0,0.5
5,First by Shubik,2.4883333333333337,0.6256666666666667,3.0,1.0,0.5833333333333334,0.04233333333333333,0.091,0.2833333333333333,1.0,0,0.18115364896731936,0.10369444237037985
6,Grudger,2.4883333333333337,0.58,5.0,1.0,0.577,0.0029999999999999996,0.08433333333333333,0.3356666666666666,1.0,0,0,0
7,"First by Tideman and Chieruzzi: (D, D)",2.487,0.6166666666666667,12.0,1.0,0.6003333333333335,0.01633333333333333,0.07566666666666667,0.30766666666666664,0.9971139971139971,0.058823529411764705,0.339264340663408,0
8,First by Davis: 10,2.4683333333333333,0.5893333333333334,4.0,1.0,0.5810000000000001,0.008333333333333333,0.07866666666666668,0.33199999999999996,0.9866666666666667,0.8962962962962964,0,0
9,First by Graaskamp: 0.05,2.333666666666667,0.6233333333333333,4.0,1.0,0.4696666666666667,0.15366666666666667,0.13699999999999998,0.23966666666666664,0.9384465090901711,0.7931804306804306,0.9031214011157478,0.359958071278826
10,First by Downing,2.183333333333333,0.313,8.0,0.0,0.25166666666666665,0.06133333333333334,0.18533333333333332,0.5016666666666667,0.9928571428571429,0.6855709876543209,0.28637447510314057,0.35714504074035625
11,"First by Feld: 1.0, 0.5, 200",2.041333333333333,0.3413333333333333,10.0,1.0,0.28400000000000003,0.05733333333333334,0.13266666666666665,0.526,0.8875457429606125,0,0.8168935840485124,0
12,First by Tullock,1.9156666666666666,0.37,9.0,1.0,0.30100000000000005,0.069,0.09566666666666669,0.5343333333333332,0.8504782152347835,0.5699439181323239,0.6588247174713341,0.13978954358982087
13,First by Joss: 0.9,1.8659999999999999,0.3446666666666667,12.0,1.0,0.28800000000000003,0.05666666666666667,0.08666666666666668,0.5686666666666667,0.8516384189075499,0,0.9369574152165246,0
14,Random: 0.5,1.6763333333333332,0.516,3.0,0.6666666666666666,0.18233333333333332,0.33366666666666667,0.16133333333333333,0.32266666666666666,0.49769409293805356,0.5173154214517476,0.5320892703871427,0.5344085506536383
15,First by Anonymous,1.5976666666666666,0.494,3.0,0.5333333333333333,0.14566666666666664,0.3483333333333334,0.16366666666666668,0.34233333333333327,0.5053594264284044,0.5244407052942544,0.516051934924093,0.4610548803922495
